Symbol,GICS Sector
ORCL,Information Technology
OTIS,Industrials
PCAR,Industrials
PKG,Materials
PLTR,Information Technology
PANW,Information Technology
PSKY,Communication Services
PH,Industrials
PAYX,Industrials
PAYC,Industrials
PYPL,Financials
PNR,Industrials
PEP,Consumer Staples
PFE,Health Care
PCG,Utilities
PM,Consumer Staples
PSX,Energy
PNW,Utilities
PNC,Financials
POOL,Consumer Discretionary
PPG,Materials
PPL,Utilities
PFG,Financials
PG,Consumer Staples
PGR,Financials
PLD,Real Estate
PRU,Financials
PEG,Utilities
PTC,Information Technology
PSA,Real Estate
PHM,Consumer Discretionary
PWR,Industrials
QCOM,Information Technology
DGX,Health Care
RL,Consumer Discretionary
RJF,Financials
RTX,Industrials
O,Real Estate
REG,Real Estate
REGN,Health Care
RF,Financials
RSG,Industrials
RMD,Health Care
RVTY,Health Care
HOOD,Financials
ROK,Industrials
ROL,Industrials
ROP,Information Technology
ROST,Consumer Discretionary
RCL,Consumer Discretionary
SPGI,Financials
CRM,Information Technology
SBAC,Real Estate
SLB,Energy
STX,Information Technology
SRE,Utilities
NOW,Information Technology
SHW,Materials
SPG,Real Estate
SWKS,Information Technology
SJM,Consumer Staples
SW,Materials
SNA,Industrials
SOLV,Health Care
SO,Utilities
LUV,Industrials
SWK,Industrials
SBUX,Consumer Discretionary
STT,Financials
STLD,Materials
STE,Health Care
SYK,Health Care
SMCI,Information Technology
SYF,Financials
SNPS,Information Technology
SYY,Consumer Staples
TMUS,Communication Services
TROW,Financials
TTWO,Communication Services
TPR,Consumer Discretionary
TRGP,Energy
TGT,Consumer Staples
TEL,Information Technology
TDY,Information Technology
TER,Information Technology
TSLA,Consumer Discretionary
TXN,Information Technology
TPL,Energy
TXT,Industrials
TMO,Health Care
TJX,Consumer Discretionary
TKO,Communication Services
TTD,Communication Services
TSCO,Consumer Discretionary
TT,Industrials
TDG,Industrials
TRV,Financials
TRMB,Information Technology
TFC,Financials
TYL,Information Technology
TSN,Consumer Staples
USB,Financials
UBER,Industrials
UDR,Real Estate
ULTA,Consumer Discretionary
UNP,Industrials
UAL,Industrials
UPS,Industrials
URI,Industrials
UNH,Health Care
UHS,Health Care
VLO,Energy
VTR,Real Estate
VLTO,Industrials
VRSN,Information Technology
VRSK,Industrials
VZ,Communication Services
VRTX,Health Care
VTRS,Health Care
VICI,Real Estate
V,Financials
VST,Utilities
VMC,Materials
WRB,Financials
GWW,Industrials
WAB,Industrials
WMT,Consumer Staples
DIS,Communication Services
WBD,Communication Services
WM,Industrials
WAT,Health Care
WEC,Utilities
WFC,Financials
WELL,Real Estate
WST,Health Care
WDC,Information Technology
WY,Real Estate
WSM,Consumer Discretionary
WMB,Energy
WTW,Financials
WDAY,Information Technology
WYNN,Consumer Discretionary
XEL,Utilities
XYL,Industrials
YUM,Consumer Discretionary
ZBRA,Information Technology
ZBH,Health Care
ZTS,Health Care
